merchant_id,week_start,merchant_category,merchant_age_days,transaction_count_30d,transaction_volume_30d,transaction_volume_previous_30d,transaction_volume_change_30d,refund_count_30d,refund_rate_30d,refund_rate_previous_30d,refund_rate_change_30d,chargeback_count_30d,chargeback_rate_30d,chargeback_rate_previous_30d,chargeback_rate_change_30d,top_dispute_reason_category,delivery_evidence_coverage,support_ticket_rate,average_support_resolution_time_hours,previous_review_outcome,label_high_loss_next_30d,latent_state_for_demo_only
merchant_demo_0001,2023-01-02,apparel,1167,511,519843.6,519843.6,0.0,8,0.0151,0.0151,0.0,1,0.002,0.002,0.0,other,0.9115,0.0103,21.3,none,0,stable_merchant
merchant_demo_0001,2023-01-09,apparel,1174,441,427618.53,519843.6,-0.1774,6,0.0143,0.0151,-0.0008,2,0.0039,0.002,0.0019,duplicate_charge,0.9053,0.014,15.05,none,0,stable_merchant
merchant_demo_0001,2023-01-16,apparel,1181,568,553539.04,427618.53,0.2945,48,0.0845,0.0143,0.0703,20,0.0354,0.0039,0.0315,duplicate_charge,0.3608,0.0749,106.45,,0,high_risk_merchant_behaviour
merchant_demo_0001,2023-01-23,apparel,1188,754,722197.15,553539.04,0.3047,61,0.0804,0.0845,-0.0041,26,0.0347,0.0354,-0.0007,item_not_as_described,0.3321,0.0805,147.14,confirmed_risk,1,high_risk_merchant_behaviour
merchant_demo_0001,2023-01-30,apparel,1195,509,488910.65,722197.15,-0.323,43,0.0851,0.0804,0.0047,16,0.0314,0.0347,-0.0033,not_received,0.3644,0.0659,38.54,false_positive,1,high_risk_merchant_behaviour
merchant_demo_0001,2023-02-06,apparel,1202,398,385498.2,488910.65,-0.2115,6,0.015,0.0851,-0.0701,1,0.003,0.0314,-0.0284,duplicate_charge,0.9463,0.007,15.5,,0,stable_merchant
merchant_demo_0001,2023-02-13,apparel,1209,511,489622.04,385498.2,0.2701,6,0.0124,0.015,-0.0026,1,0.0017,0.003,-0.0013,other,0.887,0.0074,18.35,none,0,stable_merchant
merchant_demo_0001,2023-02-20,apparel,1216,454,449169.44,489622.04,-0.0826,7,0.0153,0.0124,0.0029,2,0.0034,0.0017,0.0017,other,0.9171,0.0125,15.31,none,0,stable_merchant
merchant_demo_0001,2023-02-27,apparel,1223,525,534822.02,449169.44,0.1907,28,0.0531,0.0153,0.0378,6,0.0121,0.0034,0.0087,item_not_as_described,0.6718,0.0467,62.71,operational_issue,1,operational_fulfilment_failure
merchant_demo_0001,2023-03-06,apparel,1230,550,585984.7,534822.02,0.0957,26,0.0469,0.0531,-0.0063,6,0.0117,0.0121,-0.0005,duplicate_charge,0.6333,0.0458,56.57,none,1,operational_fulfilment_failure
merchant_demo_0001,2023-03-13,apparel,1237,503,476677.67,585984.7,-0.1865,21,0.0417,0.0469,-0.0052,6,0.0112,0.0117,-0.0005,not_received,0.619,0.046,64.9,none,1,operational_fulfilment_failure
